Bureau of Justice Statistics,,,,,,,,
Filename: ppus16at04.csv,,,,,,,,
"Appendix table 4. Characteristics of adults on probation, 2000, 2015, and 2016",,,,,,,,
"Report title: Probation and Parole in the United States, 2016   NCJ 251148",,,,,,,,
"Data source:  Bureau of Justice Statistics, , Annual Probation Survey, 2000, 2015, and 2016.",,,,,,,,
"Author:  Danielle Kaeble, BJS Statistician",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,,,,,,,,
Date of version: 2/6/2018,,,,,,,,
"Appendix table 4. Characteristics of adults on probation, 2000, 2015, and 2016",,,,,,,,
Characteristic,,,2000,,2015,,2016,
Sex,,,100,%,100,%,100,%
,Male,,78,,75,,75,
,Female,,22,,25,,25,
Race/Hispanic origin/a,,,100,%,100,%,100,%
,White,,54,,55,,55,
,Black/African American,,31,,30,,28,
,Hispanic/Latino,,13,,13,,14,
,American Indian/Alaska Native,,1,,1,,1,
,Asian/Native Hawaiian/Other Pacific Islander,,1,,1,,1,
,Two or more races,,...,,--,,--,
Status of supervision,,,100,%,100,%,100,%
,Active ,,76,,76,,75,
,Residential/other treatment program,,...,,1,,1,
,Financial conditions remaining,,...,,2,,2,
,Inactive ,,9,,4,,4,
,Absconder,,9,,7,,7,
,Supervised out of jurisdiction,,3,,2,,2,
,Warrant status,,...,,5,,5,
,Other,,3,,4,,4,
Type of offense,,,100,%,100,%,100,%
,Felony,,52,,57,,59,
,Misdemeanor,,46,,41,,40,
,Other infractions,,2,,2,,2,
Most serious offense,,,100,%,100,%,100,%
,Violent,,...,,20,,20,
,,Domestic violence,...,,4,,4,
,,Sex offense,...,,4,,4,
,,Other violent offense,...,,13,,13,
,Property,,...,,28,,26,
,Drug ,,24,,25,,24,
,Public order,,24,,15,,17,
,,DWI/DUI,18,,13,,14,
,,Other traffic offense,6,,2,,2,
,Other/b,,52,,12,,13,
Note: Characteristics are based on probationers with a known status. Detail may not sum to total due to rounding.,,,,,,,,
--Less than 0.05%.,,,,,,,,
...Not available.,,,,,,,,
"a/Excludes persons of Hispanic or Latino origin, unless specified.",,,,,,,,
b/Includes violent and property offenses in 2000 because those data were not collected separately.,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Probation Survey, 2000, 2015, and 2016.",,,,,,,,
